week_start_date,query,page_rank,rank_bucket,product_name,brand,maker,price,category1,category2,category3,category_for_group,link,source_file,category_group,sheets_per_unit,units,total_sheets,has_sheets,is_unrealistic_sheets,is_valid_sheets,unit_price,log_unit_price,z_log,robust_z,p50,p85,segment,price_band,rank_bucket_4,q1,q3,iqr,lower_bound,upper_bound,is_outlier_iqr
2025-12-22,,88,Top100,오휘 미라클 토닝 워터 패드 70매,오휘,엘지생활건강,22750,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929488937,캄프 가격비교.csv,스킨케어,70.0,1,70.0,True,False,True,325.0,5.783825182329737,1.1987083673139307,1.4183468000235246,204.44444444444446,313.65,Luxury,P80-100,51-100,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,64,Top100,에스트라 에이시카365 쿨링진정패드 pH4.5 110ml(60매) x,에스트라,코스비전,22400,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/8157711681,캄프 가격비교.csv,스킨케어,60.0,1,60.0,True,False,True,373.3333333333333,5.92247167562103,1.6257933590109401,1.8425896169208251,204.44444444444446,313.65,Luxury,P80-100,51-100,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,12,Top20,에스트라 에이시카 365 소프트 진정 팩 패드 60매,에스트라,코스비전,17990,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929034265,캄프 가격비교.csv,스킨케어,60.0,1,60.0,True,False,True,299.8333333333333,5.703226764722478,0.950433970338972,1.1717246250844922,204.44444444444446,313.65,Premium,P80-100,11-20,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,59,Top100,어성초 흔적 에센스 패드 클리어 터치 70매,아비브,코스맥스,17600,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/6752153473,캄프 가격비교.csv,스킨케어,70.0,1,70.0,True,False,True,251.42857142857142,5.527158938976884,0.40807675587496883,0.6329767015985327,204.44444444444446,313.65,Premium,P60-80,51-100,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,8,Top10,아비브 어성초 스팟 패드 카밍 터치 80매,아비브,코스맥스,10400,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929206645,캄프 가격비교.csv,스킨케어,80.0,1,80.0,True,False,True,130.0,4.867534450455582,-1.6238225912753885,-1.385400716117899,204.44444444444446,313.65,Mass,P0-20,1-10,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,44,Top50,아비브 수분초 히알루론 패드 하이드레이팅 터치 75매,아비브,코스맥스,12190,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929257602,캄프 가격비교.csv,스킨케어,75.0,1,75.0,True,False,True,162.53333333333333,5.090883108939007,-0.9358220678613409,-0.7019787140470252,204.44444444444446,313.65,Mass,P0-20,21-50,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,78,Top100,아드망 마린 켈프 아쿠아 모이스처 패드 60매,아드망,한국콜마,18990,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929477817,캄프 가격비교.csv,스킨케어,60.0,1,60.0,True,False,True,316.5,5.757323241584231,1.1170721075387267,1.3372538150643087,204.44444444444446,313.65,Luxury,P80-100,51-100,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,35,Top50,아누아 어성초 77 클리어 패드 70매 올리브영 닦토 모공토너,아누아,엔코스,13900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/6854175247,캄프 가격비교.csv,스킨케어,70.0,1,70.0,True,False,True,198.57142857142858,5.291148877069424,-0.3189258024831974,-0.08918778379790478,204.44444444444446,313.65,Mass,P40-60,21-50,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,39,Top50,"스킨푸드 판토테닉 워터 파슬리 클리어 패드 60매(민감성, 복합성, 지성)",스킨푸드,아이피어리스,9900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929186662,캄프 가격비교.csv,스킨케어,60.0,1,60.0,True,False,True,165.0,5.10594547390058,-0.8894241398514671,-0.6558895560110723,204.44444444444446,313.65,Mass,P20-40,21-50,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
2025-12-22,,2,Top10,스킨푸드 캐롯 카로틴 카밍 워터 패드 60매,스킨푸드,아이피어리스,11060,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929295854,캄프 가격비교.csv,스킨케어,60.0,1,60.0,True,False,True,184.33333333333334,5.216745712854225,-0.5481164153630913,-0.3168531738370972,204.44444444444446,313.65,Mass,P20-40,1-10,5.208182321017594,5.56634470545392,0.3581623844363264,4.670938744363104,6.10358828210841,False
