week_start_date,category_group,rank_bucket_4,item_count,median,q1,q3,iqr
2025-12-22,스킨케어,1-10,6,214.14285714285714,185.5,253.32142857142856,67.82142857142856
2025-12-22,스킨케어,11-20,4,201.23214285714286,194.375,227.74404761904762,33.36904761904762
2025-12-22,스킨케어,21-50,19,195.0,160.66666666666669,253.04166666666669,92.375
2025-12-22,스킨케어,51-100,18,235.71428571428572,188.4375,305.71428571428567,117.27678571428567
