week_start_date,category_group,brand,item_count,weight_inv,weight_inv_sqrt,total_count,total_weight_inv,total_weight_inv_sqrt,sov,weighted_sov_inv_rank,weighted_sov_inv_sqrt
2025-12-22,스킨케어,Unknown,1,0.047619047619047616,0.2182178902359924,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.013424724615530983,0.02124855506449303
2025-12-22,스킨케어,결고은사람들,1,0.25,0.5,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.07047980423153766,0.04868655599573829
2025-12-22,스킨케어,김정문알로에,1,0.021739130434782608,0.14744195615489714,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.006128678628829361,0.014356882108913178
2025-12-22,스킨케어,넘버즈인,1,0.07142857142857142,0.2672612419124244,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.020137086923296472,0.026024058839719616
2025-12-22,스킨케어,달달,1,0.2,0.4472135954999579,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.05638384338523013,0.04354657951872831
2025-12-22,스킨케어,달바,1,0.030303030303030304,0.17407765595569785,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.008543006573519717,0.016950483088587896
2025-12-22,스킨케어,더랩바이블랑두,1,0.012987012987012988,0.11396057645963795,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.00366128853150845,0.011096695974217556
2025-12-22,스킨케어,더마토리,1,0.011235955056179775,0.105999788000636,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.003167631650855625,0.010321529228058705
2025-12-22,스킨케어,듀이트리,6,0.17256881575727917,0.9677560951680545,49,3.5471154144910675,10.269775501141769,0.12244897959183673,0.04865046540416531,0.09423342263523304
2025-12-22,스킨케어,라운드랩,2,0.08711433756805807,0.4151110720476136,49,3.5471154144910675,10.269775501141769,0.04081632653061224,0.024559205830227276,0.04042065690739418
2025-12-22,스킨케어,르메이엘,1,0.011494252873563218,0.10721125348377948,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.0032404507692660994,0.010439493392222643
2025-12-22,스킨케어,리더스,1,0.012345679012345678,0.1111111111111111,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.0034804841595821065,0.010819234665719619
2025-12-22,스킨케어,리바이포유,1,0.02127659574468085,0.14586499149789456,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.005998281211194694,0.014203328152760266
2025-12-22,스킨케어,마몽드,1,0.024390243902439025,0.15617376188860607,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.0068760784616134305,0.015207125206509436
2025-12-22,스킨케어,메디힐,1,0.04,0.2,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.011276768677046026,0.019474622398295317
2025-12-22,스킨케어,메이크프렘,1,0.02,0.1414213562373095,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.005638384338523013,0.013770637558882044
2025-12-22,스킨케어,벤튼,1,0.3333333333333333,0.5773502691896258,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.09397307230871688,0.05621839242011059
2025-12-22,스킨케어,브링그린,1,0.043478260869565216,0.20851441405707477,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.012257357257658722,0.02030369739181666
2025-12-22,스킨케어,비건이펙트,1,0.011627906976744186,0.10783277320343841,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.003278130429373845,0.010500012701489904
2025-12-22,스킨케어,비플레인,1,0.012195121951219513,0.11043152607484653,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.0034380392308067153,0.010753061355875698
2025-12-22,스킨케어,센텔리안24,1,0.045454545454545456,0.21320071635561041,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.012814509860279575,0.020760017230357884
2025-12-22,스킨케어,셀리맥스,1,0.037037037037037035,0.19245008972987526,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.010441452478746319,0.01873946414003686
2025-12-22,스킨케어,셀퓨전씨,2,0.04646697388632873,0.2926774059776561,49,3.5471154144910675,10.269775501141769,0.04081632653061224,0.013099932890961686,0.028498909829637167
2025-12-22,스킨케어,스킨1004,1,0.02702702702702703,0.1643989873053573,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.007619438295301369,0.016008041002169893
2025-12-22,스킨케어,스킨푸드,3,0.5478632478632479,1.0163061334916206,49,3.5471154144910675,10.269775501141769,0.061224489795918366,0.1544531778202244,0.09896089095410411
2025-12-22,스킨케어,아누아,1,0.02857142857142857,0.1690308509457033,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.00805483476931859,0.016459059979150554
2025-12-22,스킨케어,아드망,1,0.01282051282051282,0.11322770341445956,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.0036143489349506493,0.011025333845113866
2025-12-22,스킨케어,아비브,3,0.16467642526964563,0.6344979738629795,49,3.5471154144910675,10.269775501141769,0.061224489795918366,0.04642544885821626,0.06178304226732488
2025-12-22,스킨케어,에스트라,2,0.09895833333333333,0.4136751345948129,49,3.5471154144910675,10.269775501141769,0.04081632653061224,0.027898255841650323,0.04028083520898987
2025-12-22,스킨케어,오휘,1,0.011363636363636364,0.10660035817780521,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.0032036274650698937,0.010380008615178942
2025-12-22,스킨케어,일소,1,0.010101010101010102,0.10050378152592121,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.0028476688578399057,0.009786365974090421
2025-12-22,스킨케어,캄프,1,0.012658227848101266,0.1125087900926024,49,3.5471154144910675,10.269775501141769,0.02040816326530612,0.0035685976826095017,0.010955331017712504
