week_start_date,category_group,brand,product_name,page_rank,price,unit_price,log_unit_price,lower_bound,upper_bound
2025-12-22,스킨케어,브링그린,브링그린 티트리 시카 트러블 수딩 토너 패드 90매,23,9300,103.33333333333333,4.637960008811082,4.670938744363104,6.10358828210841
2025-12-22,스킨케어,리바이포유,리바이포유 7초 앰플 패드 붙이는앰플 즉각수분진정 토너패드 병풀 Rbfy 60매,47,36200,603.3333333333334,6.402469835591762,4.670938744363104,6.10358828210841
