week_start_date,category1,category2,category3,category_group,brand,product_name,page_rank,unit_price,log_unit_price,segment,is_valid_sheets
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,리바이포유,리바이포유 7초 앰플 패드 붙이는앰플 즉각수분진정 토너패드 병풀 Rbfy 60매,47,603.3333333333334,6.402469835591762,Luxury,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,리더스,리더스 쿨링 진정 패드 80매,81,157.5,5.059425458265688,Mass,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,라운드랩,라운드랩 자작나무 수분 패드 80매,19,181.25,5.199877293734784,Mass,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,라운드랩,라운드랩 소나무 진정 시카 패드 50매,29,329.8,5.7984864101254985,Luxury,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,듀이트리,듀이트리 AC 컨트롤 딥 그린 카밍 패드 60매,32,251.75,5.528436531598672,Premium,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,듀이트리,듀이트리 AC 딥 흔적 진정 패드 80매,15,198.75,5.292047753534441,Mass,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,듀이트리,듀이트리 픽앤퀵 화장발 뜯어쓰는 더블 패드 100매,30,146.3,4.9856593080260785,Mass,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,Unknown,더씨앤랩 보령머드 저자극 피부진정 쿨링 토너패드 앰플패드,21,,,,False
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,더마토리,더마토리 시카 흔적 진정 거즈 패드 베베더오리 콜라보 70매,89,227.14285714285714,5.425579146158964,Premium,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,더랩바이블랑두,더랩바이블랑두 그린 플라 진정 패드 90매,77,204.44444444444446,5.320296273266812,Mass,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,달바,달바 데일리 마일드 시카 카밍 패드 50매,33,158.8,5.067645548813036,Mass,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,달달,달달 아데노신 진정 수분 토너 패드 팩 병풀 마데카 피부 트러블 100매,5,189.0,5.241747015059643,Mass,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,넘버즈인,넘버즈인 1번 시카 갈아만든 초록패드 70매,14,203.71428571428572,5.316718451918928,Mass,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,결고은사람들,나엑스나 속깊은 토너 패드 60매,4,405.0,6.003887067106539,Luxury,True
2025-12-22,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,김정문알로에,김정문알로에 큐어 피토 그린 릴렉싱 토너 패드 60매,46,254.33333333333334,5.538645742616348,Premium,True
